sample,11720807_x_at,11729582_s_at,11739787_a_at,11740680_s_at,11719581_a_at,11756003_x_at,11736395_a_at,11729583_x_at,11742315_s_at,11742143_s_at,11732236_a_at,11725497_a_at,11736538_s_at,11731448_a_at,11737280_at,11745557_x_at,11736696_a_at,11728138_at,11729920_at,11720494_a_at,11745299_x_at,11727807_at,11753827_x_at,11732235_a_at,11753662_x_at,11739340_at,11728137_at,11721930_a_at,11728821_a_at,11733360_x_at,11737268_s_at,11752881_s_at,11746263_a_at,11727808_s_at,11752701_s_at,11739338_at,11727970_a_at,11751870_x_at,11723952_at,11715893_s_at,11750918_a_at,11737267_a_at,11722470_x_at,11754453_s_at,11727969_a_at,11745661_x_at,11725438_a_at,11715752_at,11733482_a_at,11758559_s_at,class
GSM3507271,7.308282,5.301753,4.497303,4.232573,4.838767,3.489177,5.068662,7.156078,3.683013,3.963821,2.821044,5.44471,4.40204,4.47209,5.570061,6.555672,5.030946,3.760947,3.654702,4.258347,5.577908,3.821878,6.501916,2.93854,6.729552,5.228302,5.75909,6.212667,3.131678,5.016153,3.355014,3.388997,5.817508,7.784389,4.051919,8.202787,4.611142,2.819061,6.538072,7.650871,2.795707,4.072957,4.273282,6.859739,5.139079,2.94054,9.657129,4.694306,3.944598,6.101951,SONFH
GSM3507272,6.790083,6.899008,6.934491,4.516967,6.150851,5.729138,6.2452,9.3104,4.437718,4.308332,3.95043,5.476294,4.693245,5.989056,6.91692,7.581242,6.195824,5.144231,4.895868,4.242649,6.660827,5.162703,7.642763,3.479913,7.520038,6.083708,7.459617,6.655234,3.395152,5.534777,4.478549,4.040947,7.146649,8.702602,4.497022,9.070396,4.84944,3.080651,8.55699,6.160753,3.377155,4.0664,6.044166,7.537107,5.77958,3.294722,10.31515,4.545519,4.662112,6.663391,SONFH
GSM3507273,7.247553,4.152866,4.188431,2.925758,4.742831,3.204396,4.83417,6.184172,3.24222,3.010317,2.559262,5.552033,3.053781,4.300869,5.558336,5.774313,4.855398,3.315599,3.517394,3.755306,4.931798,3.15204,6.393947,3.072461,6.122465,4.831132,5.235222,5.819553,3.026092,3.755228,3.402651,3.191531,5.503726,6.912509,4.047976,6.910331,3.963623,2.683244,4.686131,6.277671,2.764846,3.21107,4.608815,6.141274,4.246139,3.198229,8.446341,3.782223,3.670109,5.672402,SONFH
GSM3507274,6.839543,6.496937,4.317563,3.102006,5.532683,3.357098,5.706487,8.551279,3.013258,2.767645,3.742804,5.332963,3.143678,5.295994,5.409657,6.792515,6.047169,3.960451,4.579668,4.357645,5.607707,3.946296,6.785876,3.161209,6.789797,5.136431,6.430871,5.515204,3.346473,5.223468,3.537982,3.761288,6.04647,8.018421,3.760232,8.396905,4.778452,3.06476,7.038401,5.416868,2.6265,3.204577,4.586879,7.143706,5.170318,3.347288,9.584087,4.146002,4.004106,6.444976,SONFH
GSM3507275,6.133822,4.570847,4.329324,2.965102,5.338823,3.264879,5.550494,6.603584,3.339901,3.610398,3.073778,5.05196,3.518832,4.300148,6.071345,6.294672,4.610701,3.65721,3.919001,3.610398,5.593753,4.06544,6.727419,3.008795,6.474762,4.827868,5.41304,5.972662,2.917132,5.096449,3.569896,3.959326,5.771546,7.255264,3.914464,7.300732,4.798044,2.523713,6.700698,7.594095,2.307642,3.90451,5.231777,7.038528,4.785198,2.811163,9.952936,4.104525,3.860588,6.355433,SONFH
GSM3507276,1.784517,6.960538,5.164362,4.471865,5.477331,4.194556,5.939815,9.265087,4.446713,4.400035,4.058296,6.222085,4.56917,5.394965,7.153365,7.165879,6.365538,4.213681,4.990397,4.70312,6.390875,4.226755,7.647061,3.327925,7.552023,6.174825,6.60738,6.743546,3.562482,5.68353,4.669847,4.990398,6.893847,8.182369,4.9198,9.091973,5.049681,3.342689,7.911192,6.422482,3.185671,5.219531,5.963995,7.754186,6.012381,3.455617,10.46688,4.765626,4.464268,7.027824,SONFH
GSM3507277,1.989804,6.345305,4.624891,4.107971,4.716209,3.566478,5.082499,8.554638,3.740331,3.281736,3.5304,5.423254,3.614296,5.231647,6.391724,6.59126,5.724529,2.852599,4.095666,4.273351,5.674395,4.124697,7.273733,3.39474,6.829287,4.910707,5.046905,6.287416,3.42391,5.600205,3.978375,4.144532,5.955431,7.414392,4.182867,7.462667,4.580241,3.240797,7.604103,5.683885,3.040433,3.933858,4.387247,6.174826,5.077928,3.205007,8.782907,4.247816,3.798147,5.757517,SONFH
GSM3507278,1.918864,5.658277,4.605001,3.85202,5.027017,3.671484,5.153518,7.886028,3.923918,3.647807,3.336871,4.900318,3.809206,4.81335,5.79013,6.49107,5.524752,3.701809,4.258244,4.018152,5.337181,3.387009,6.485283,3.02649,6.467524,4.865082,5.823688,5.81347,2.902276,4.546745,4.040082,4.431397,5.668515,7.340961,4.26777,7.689041,4.372185,2.787977,8.438145,6.285285,2.650435,3.955306,5.056596,6.937925,5.204861,3.097924,9.476717,4.207051,3.661518,6.172147,SONFH
GSM3507279,1.702125,6.230299,3.671837,3.489764,5.92215,3.080091,6.04865,8.147943,3.223841,3.400201,3.363454,5.67063,3.193251,5.169234,6.679649,6.592198,6.257792,4.126649,4.87969,4.122779,5.610835,4.320364,7.031237,3.503551,6.66732,5.495225,6.742066,5.904787,3.399924,5.527439,3.930413,4.025765,6.291786,7.760335,3.967831,8.80877,5.351242,3.240521,7.789845,7.618427,3.028523,4.652602,5.088427,6.917714,5.552985,3.446726,10.42273,4.293061,4.086593,6.118311,SONFH
GSM3507280,6.830643,6.866009,5.747341,3.139657,6.080238,4.391435,6.33137,8.943629,3.378216,3.581956,3.411042,6.797238,3.617446,6.054969,6.06615,7.015173,6.28026,4.02397,4.803596,4.253321,6.049852,4.914814,7.551071,3.434302,7.145368,6.322495,6.284457,5.959519,3.370419,6.314004,3.982285,4.1436,6.76781,8.626495,3.815456,9.189683,5.336146,2.96257,7.146573,5.641728,2.911128,3.841945,5.580114,7.558309,6.514118,3.017723,10.46008,4.253321,3.929962,6.955084,SONFH
