Gene,FilterAUC
11725729_s_at,0.9
11727222_at,0.9
11724323_a_at,0.9
11731281_a_at,0.9
11732329_a_at,0.9
11759882_a_at,0.9
11716654_a_at,0.9
11716653_x_at,0.9
11755192_a_at,0.9
11727145_s_at,0.9
11755237_a_at,0.9
11732589_a_at,0.9
11763413_at,0.9
11732208_at,0.9
11762854_a_at,0.9
11721340_s_at,0.9
11749986_a_at,0.9
11721462_at,0.9
11722594_at,0.9
11718340_x_at,0.9
11724229_s_at,0.9
11743865_s_at,0.9
11715716_at,0.9
11715422_a_at,0.9
11717223_a_at,0.8999999999999999
11718120_at,0.8999999999999999
11726559_s_at,0.8999999999999999
11722725_a_at,0.8999999999999999
11716931_at,0.8999999999999999
11718657_a_at,0.8999999999999999
11762294_x_at,0.8999999999999999
11718433_a_at,0.8999999999999999
11736387_a_at,0.8999999999999999
11731874_x_at,0.8999999999999999
11716767_at,0.8999999999999999
11757783_s_at,0.8999999999999999
11749492_a_at,0.8999999999999999
11750999_a_at,0.8999999999999999
11755804_a_at,0.8999999999999999
11754170_a_at,0.8999999999999999
11719548_s_at,0.8999999999999999
11756155_a_at,0.8999999999999999
11753555_a_at,0.8999999999999999
11744161_a_at,0.8999999999999999
11722225_a_at,0.8999999999999999
11728845_a_at,0.8999999999999999
11725384_a_at,0.8999999999999999
11757436_x_at,0.8966666666666667
11727657_at,0.8966666666666667
11743596_a_at,0.8966666666666667
11755296_a_at,0.8966666666666667
11739666_a_at,0.8966666666666667
11715717_s_at,0.8966666666666667
11759127_at,0.8966666666666667
11754456_a_at,0.8966666666666667
11717617_a_at,0.8966666666666667
11763333_at,0.8966666666666667
11754321_x_at,0.8966666666666667
11736272_a_at,0.8966666666666667
11722348_a_at,0.8966666666666667
11758214_s_at,0.8966666666666667
11718387_s_at,0.8966666666666667
11763265_s_at,0.8966666666666667
11750126_a_at,0.8966666666666667
11715931_s_at,0.8966666666666667
11746166_x_at,0.8966666666666667
11737635_a_at,0.8966666666666667
11715921_a_at,0.8966666666666667
11729662_x_at,0.8966666666666667
11715600_a_at,0.8966666666666667
11716072_s_at,0.8966666666666667
11737504_x_at,0.8966666666666667
11757635_a_at,0.8966666666666667
11759313_at,0.8966666666666667
11746237_x_at,0.8966666666666667
11725077_at,0.8966666666666667
11726636_s_at,0.8966666666666667
11745369_x_at,0.8966666666666667
11741060_a_at,0.8966666666666667
11748767_a_at,0.8966666666666667
11744313_a_at,0.8966666666666667
11722806_at,0.8966666666666667
11724056_a_at,0.8966666666666667
11728776_s_at,0.8966666666666667
11763217_x_at,0.8966666666666667
11739272_x_at,0.8966666666666667
11743559_a_at,0.8966666666666667
11725303_a_at,0.8966666666666667
11754685_a_at,0.8966666666666667
11722609_a_at,0.8966666666666667
11730269_at,0.8966666666666667
11719744_at,0.8966666666666667
11721601_s_at,0.8966666666666667
11743712_a_at,0.8966666666666667
11725383_a_at,0.8966666666666667
11734529_x_at,0.8966666666666667
11718085_s_at,0.8966666666666667
11716435_a_at,0.8966666666666667
11749751_s_at,0.8966666666666666
11720975_a_at,0.8966666666666666
11734077_a_at,0.8966666666666666
11723153_a_at,0.8966666666666666
11734326_a_at,0.8966666666666666
11761515_s_at,0.8966666666666666
11721566_s_at,0.8966666666666666
11758105_s_at,0.8966666666666666
11716849_s_at,0.8966666666666666
11718121_x_at,0.8966666666666666
11731360_a_at,0.8966666666666666
11725110_a_at,0.8966666666666666
11734690_a_at,0.8966666666666666
11745801_s_at,0.8966666666666666
11725924_a_at,0.8966666666666666
11718160_at,0.8966666666666666
11747064_x_at,0.8966666666666666
11724418_a_at,0.8966666666666666
11753961_a_at,0.8966666666666666
11717952_at,0.8966666666666666
11741351_s_at,0.8966666666666666
11741278_a_at,0.8966666666666666
11727511_s_at,0.8966666666666666
11730781_a_at,0.8966666666666666
11726586_at,0.8966666666666666
11755360_a_at,0.8966666666666666
11739731_s_at,0.8933333333333334
11744450_x_at,0.8933333333333334
11744263_s_at,0.8933333333333334
11750630_s_at,0.8933333333333334
11740302_a_at,0.8933333333333334
11715617_a_at,0.8933333333333333
11754492_x_at,0.8933333333333333
11752569_x_at,0.8933333333333333
11718679_a_at,0.8933333333333333
11734923_a_at,0.8933333333333333
11719432_at,0.8933333333333333
11721716_s_at,0.8933333333333333
11752771_a_at,0.8933333333333333
11759499_at,0.8933333333333333
11725474_a_at,0.8933333333333333
11732373_a_at,0.8933333333333333
11758608_s_at,0.8933333333333333
11763732_at,0.8933333333333333
11759824_a_at,0.8933333333333333
11733853_s_at,0.8933333333333333
11754920_s_at,0.8933333333333333
11758237_s_at,0.8933333333333333
11754877_s_at,0.8933333333333333
11718921_a_at,0.8933333333333333
11741077_x_at,0.8933333333333333
11733655_a_at,0.8933333333333333
11740979_x_at,0.8933333333333333
11763808_x_at,0.8933333333333333
11740065_at,0.8933333333333333
11736573_a_at,0.8933333333333333
11720228_at,0.8933333333333333
11763167_x_at,0.8933333333333333
11724679_a_at,0.8933333333333333
11725043_a_at,0.8933333333333333
11728497_s_at,0.8933333333333333
11739657_a_at,0.8933333333333333
11730383_a_at,0.8933333333333333
11739599_a_at,0.8933333333333333
11715461_at,0.8933333333333333
11727913_a_at,0.8933333333333333
11728424_x_at,0.8933333333333333
11718195_a_at,0.8933333333333333
11745724_at,0.8933333333333333
11752129_a_at,0.8933333333333333
11723646_x_at,0.8933333333333333
11728093_a_at,0.8933333333333333
11739219_s_at,0.8933333333333333
11739263_x_at,0.8933333333333333
11756827_a_at,0.8933333333333333
11755772_a_at,0.8933333333333333
11749257_a_at,0.8933333333333333
11755399_a_at,0.8933333333333333
11737592_at,0.8933333333333333
11722548_at,0.8933333333333333
11740652_x_at,0.8933333333333333
11719255_s_at,0.8933333333333333
11719973_a_at,0.8933333333333333
11737839_a_at,0.8933333333333333
11724686_x_at,0.8933333333333333
11756206_a_at,0.8933333333333333
11717889_s_at,0.8933333333333333
11735712_x_at,0.8933333333333333
11744156_a_at,0.8933333333333333
11720801_a_at,0.8933333333333333
11722765_a_at,0.8933333333333333
11738523_a_at,0.8933333333333333
11727598_a_at,0.8933333333333333
11728838_a_at,0.8933333333333333
11715880_a_at,0.8933333333333333
11753963_x_at,0.8933333333333333
11724858_a_at,0.8900000000000001
11752153_a_at,0.8900000000000001
11727637_at,0.8900000000000001
11719594_at,0.89
11738360_x_at,0.89
11763382_a_at,0.89
11754644_x_at,0.89
11758281_s_at,0.89
11750634_x_at,0.89
11722682_at,0.89
11725746_a_at,0.89
11717610_s_at,0.89
11756516_a_at,0.89
11751795_a_at,0.89
11723882_x_at,0.89
11717874_a_at,0.89
11755383_a_at,0.89
11750374_a_at,0.89
11716810_a_at,0.89
11732217_a_at,0.89
11760475_at,0.89
11723842_s_at,0.89
11721553_a_at,0.89
11726820_a_at,0.89
11744609_a_at,0.89
11729442_a_at,0.89
11735284_x_at,0.89
11729533_s_at,0.89
11730929_s_at,0.89
11719758_a_at,0.89
11745687_a_at,0.89
11752820_a_at,0.89
11718170_a_at,0.89
11745188_a_at,0.89
11752631_a_at,0.89
11721927_at,0.89
11727979_a_at,0.89
11757321_a_at,0.89
11739155_s_at,0.89
11742022_s_at,0.89
11720276_s_at,0.89
11715503_a_at,0.89
11726421_a_at,0.89
11754791_x_at,0.89
11760900_x_at,0.89
11721241_at,0.89
11716534_s_at,0.89
11754762_x_at,0.89
11728499_x_at,0.89
11755037_s_at,0.89
11720976_at,0.89
11744811_a_at,0.89
11727642_a_at,0.89
11730253_a_at,0.89
11749124_a_at,0.89
11717064_a_at,0.89
11719495_a_at,0.89
11743534_a_at,0.89
11764005_at,0.89
11733060_a_at,0.89
11745114_a_at,0.89
11719090_at,0.89
11743097_a_at,0.89
11732514_s_at,0.89
11733479_a_at,0.89
11759584_a_at,0.89
11719377_x_at,0.89
11759205_a_at,0.8899999999999999
11741223_s_at,0.8899999999999999
11722170_a_at,0.8899999999999999
11745820_s_at,0.8899999999999999
11733698_s_at,0.8899999999999999
11717209_s_at,0.8899999999999999
11754319_at,0.8899999999999999
11754680_a_at,0.8899999999999999
11724004_a_at,0.8899999999999999
11723737_x_at,0.8899999999999999
11748233_x_at,0.8866666666666667
11717601_s_at,0.8866666666666667
11716978_a_at,0.8866666666666667
