probe_id,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc,gene_symbol,combined_score
11721585_a_at,0.40740740740740744,0.437037037037037,0.37258596562842344,0.25,TMCC1,0.40740740740740744
11716135_a_at,0.40740740740740744,0.5481481481481482,0.2932715984419134,0.25,MVP,0.40740740740740744
11752003_a_at,0.40740740740740744,0.4814814814814815,0.2734226492635815,0.25,IQGAP1,0.40740740740740744
11759402_s_at,0.40740740740740744,0.4518518518518519,0.24483694638575426,0.25,VCAN,0.40740740740740744
11763166_a_at,0.40740740740740744,0.4962962962962963,0.2899789500898279,0.25,MARS,0.40740740740740744
11757379_a_at,0.40740740740740744,0.4333333333333334,0.4482093622104673,0.25,TYK2,0.40740740740740744
11723822_a_at,0.40740740740740744,0.37037037037037035,0.1906598174256852,0.25,ZNF862,0.40740740740740744
11758472_s_at,0.40740740740740744,0.41481481481481486,0.25846438996100596,0.25,RICTOR,0.40740740740740744
11726357_a_at,0.40740740740740744,0.5407407407407407,0.4308093636620844,0.25,KMT2E,0.40740740740740744
11738982_at,0.40740740740740744,0.3148148148148148,0.24567591039669628,0.25,CD4,0.40740740740740744
11732524_a_at,0.40740740740740744,0.4444444444444445,0.38400817320977265,0.25,CHKB-CPT1B /// CPT1B,0.40740740740740744
11727835_a_at,0.40740740740740744,0.47407407407407404,0.3923129682034181,0.25,EVL,0.40740740740740744
11759423_at,0.40740740740740744,0.437037037037037,0.3013458608415999,0.25,EPPK1,0.40740740740740744
11742714_a_at,0.40740740740740744,0.45925925925925937,0.2465120191450924,0.25,TBRG1,0.40740740740740744
11750041_s_at,0.40740740740740744,0.4518518518518519,0.2714084586749817,0.25,ANXA5,0.40740740740740744
11761553_x_at,0.40740740740740744,0.4370370370370371,0.3157936851450697,0.25,KATNBL1,0.40740740740740744
11719274_a_at,0.40740740740740744,0.5777777777777778,0.2981423969999719,0.25,PANK4,0.40740740740740744
11717590_a_at,0.40740740740740744,0.562962962962963,0.26501546399997505,0.25,CNOT1,0.40740740740740744
11745099_x_at,0.40740740740740744,0.437037037037037,0.34286775736394426,0.25,DHX38,0.40740740740740744
11748249_a_at,0.40740740740740744,0.5111111111111112,0.36420799315376357,0.25,NDRG3,0.40740740740740744
11715707_a_at,0.40740740740740744,0.3592592592592593,0.299061173899057,0.75,MGEA5,0.40740740740740744
11721650_at,0.40740740740740744,0.4222222222222222,0.3015733775677375,0.3333333333333333,PI3,0.40740740740740744
11740065_at,0.40740740740740744,0.3925925925925926,0.2678471812113266,0.75,IL17RA,0.40740740740740744
11724936_a_at,0.40740740740740744,0.35555555555555557,0.25606497803620154,0.75,C10orf76,0.40740740740740744
11726634_a_at,0.40740740740740744,0.32592592592592595,0.2801136355731709,0.75,KAT6A,0.40740740740740744
11742107_a_at,0.40740740740740744,0.48888888888888893,0.2813352446641918,0.75,PPT1,0.40740740740740744
11760224_at,0.40740740740740744,0.47407407407407415,0.30020569080236215,0.75,MBD4,0.40740740740740744
11716855_a_at,0.40740740740740744,0.3777777777777778,0.3707405557405096,0.75,COPG1,0.40740740740740744
11722682_at,0.40740740740740744,0.5185185185185185,0.3685138655950444,0.75,IRAK1 /// MECP2,0.40740740740740744
11715921_a_at,0.40740740740740744,0.5333333333333334,0.3509735626809522,0.75,SEPT9,0.40740740740740744
11759629_a_at,0.40740740740740744,0.47407407407407415,0.34684547462053805,0.75,TRAC /// TRAJ17 /// TRAV20 /// TRDV2,0.40740740740740744
11755192_a_at,0.40740740740740744,0.47407407407407404,0.32960882164869615,0.75,TM9SF4,0.40740740740740744
11722808_at,0.40740740740740744,0.5111111111111112,0.2885563137893697,0.75,SP1,0.40740740740740744
11743785_x_at,0.40740740740740744,0.4222222222222222,0.3339500467807363,0.3333333333333333,CLIP1,0.40740740740740744
11721922_at,0.40740740740740744,0.4666666666666667,0.3256311798567891,0.75,PRKCB,0.40740740740740744
11739232_x_at,0.40740740740740744,0.41481481481481486,0.43303250083152656,0.75,RASSF2,0.40740740740740744
11727483_a_at,0.40740740740740744,0.3111111111111111,0.2935053741653178,0.75,TPR,0.40740740740740744
11731998_s_at,0.40740740740740744,0.40740740740740744,0.32394177193585005,0.75,CCDC88C,0.40740740740740744
11724682_s_at,0.40740740740740744,0.4518518518518519,0.25445280055285435,0.75,TGFBR2,0.40740740740740744
11763641_a_at,0.40740740740740744,0.4222222222222222,0.3060882001688057,0.75,FMNL1,0.40740740740740744
11755153_a_at,0.40740740740740744,0.4518518518518519,0.36514837167011077,0.6666666666666666,MKL1,0.40740740740740744
11752154_x_at,0.40740740740740744,0.3962962962962963,0.20687763027805844,0.75,NBEAL2,0.40740740740740744
11721927_at,0.40740740740740744,0.47407407407407404,0.27888667551135854,0.3333333333333333,TMC8,0.40740740740740744
11751092_s_at,0.40740740740740744,0.40740740740740744,0.349406708594689,0.4166666666666667,LOC101928143 /// NUMB,0.40740740740740744
11739219_s_at,0.40740740740740744,0.4962962962962963,0.4847467626176711,0.5,CACUL1,0.40740740740740744
