probe_id,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc,gene_symbol,combined_score
11756379_x_at,0.40740740740740744,0.562962962962963,0.3488173237917364,0.25,H3F3A /// H3F3AP4,0.40740740740740744
11721764_a_at,0.40740740740740744,0.4666666666666667,0.24927879511798284,0.25,ADRBK2,0.40740740740740744
11747703_x_at,0.40740740740740744,0.5407407407407407,0.3690717975808329,0.25,CARD8,0.40740740740740744
11754580_s_at,0.40740740740740744,0.4518518518518519,0.36231991411542513,0.25,CCDC92,0.40740740740740744
11752282_a_at,0.40740740740740744,0.4444444444444445,0.3533108153396095,0.25,PPFIBP2,0.40740740740740744
11717590_a_at,0.40740740740740744,0.2740740740740741,0.23801880019347602,0.25,CNOT1,0.40740740740740744
11755399_a_at,0.40740740740740744,0.4148148148148148,0.43303250083152656,0.25,COL18A1,0.40740740740740744
11746563_x_at,0.40740740740740744,0.5481481481481482,0.37987796755431363,0.25,FAM65A,0.40740740740740744
11750769_s_at,0.40740740740740744,0.49629629629629635,0.33188987877362747,0.25,CCR2,0.40740740740740744
11717335_at,0.40740740740740744,0.4518518518518519,0.34881732379173636,0.25,TRIM27,0.40740740740740744
11743475_a_at,0.40740740740740744,0.4518518518518519,0.2531014750114058,0.25,ITGAX,0.40740740740740744
11715653_a_at,0.40740740740740744,0.5703703703703704,0.31709414508154066,0.25,RTFDC1,0.40740740740740744
11722728_a_at,0.40740740740740744,0.40370370370370373,0.37551975868552817,0.25,EGR2,0.40740740740740744
11720460_x_at,0.40740740740740744,0.4925925925925926,0.36420799315376357,0.25,F11R,0.40740740740740744
11752569_x_at,0.40740740740740744,0.4481481481481482,0.39769569468284793,0.6666666666666666,LCK,0.40740740740740744
11723094_a_at,0.40740740740740744,0.4666666666666667,0.3015733775677375,0.25,CYLD,0.40740740740740744
11726357_a_at,0.40740740740740744,0.4851851851851852,0.3658051982581745,0.75,KMT2E,0.40740740740740744
11739342_a_at,0.40740740740740744,0.39259259259259266,0.3420666633783353,0.75,TNFRSF10C,0.40740740740740744
11759313_at,0.40740740740740744,0.47037037037037044,0.17548678134047604,0.75,AGO4,0.40740740740740744
11715921_a_at,0.40740740740740744,0.47037037037037044,0.3047407767514698,0.75,SEPT9,0.40740740740740744
11750126_a_at,0.40740740740740744,0.3481481481481482,0.19832978867393025,0.75,MANBA,0.40740740740740744
11744161_a_at,0.40740740740740744,0.5185185185185185,0.24567591039669626,0.75,RFX1,0.40740740740740744
11731783_a_at,0.40740740740740744,0.45925925925925937,0.25872961772700714,0.75,RASAL3,0.40740740740740744
11717322_a_at,0.40740740740740744,0.5185185185185185,0.3758848727811933,0.75,UPF1,0.40740740740740744
11718861_a_at,0.40740740740740744,0.5222222222222224,0.35437690443623043,0.75,HCK,0.40740740740740744
11754780_s_at,0.40740740740740744,0.5185185185185185,0.3866780188485389,0.75,ZNF767P,0.40740740740740744
11732373_a_at,0.40740740740740744,0.5703703703703704,0.31709414508154066,0.75,TSEN34,0.40740740740740744
