Gene,Iteration,N_train,N_test,TrainAUC,TestAUC,TrainAcc,TestAcc,ScaleMean,ScaleSD,Notes
11740096_a_at,4,28,12,0.9319727891156463,1.0,0.8928571428571429,0.9166666666666666,5.455554178571428,0.6255894747717461,
11740096_a_at,5,28,12,0.9387755102040817,0.925925925925926,0.9642857142857143,0.75,5.341764464285716,0.6085478133907823,
11748249_a_at,1,28,12,0.9251700680272108,0.962962962962963,0.8571428571428571,0.9166666666666666,4.9516464285714274,0.243919039471954,
11748249_a_at,2,28,12,0.9523809523809523,0.962962962962963,0.8928571428571429,0.8333333333333334,4.935506285714284,0.26692576990753475,
11748249_a_at,3,28,12,0.9387755102040817,0.962962962962963,0.8928571428571429,0.8333333333333334,4.938209,0.294940426088112,
11748249_a_at,4,28,12,0.9319727891156463,0.962962962962963,0.8571428571428571,0.9166666666666666,4.965111285714285,0.26622916470017405,
11748249_a_at,5,28,12,0.9863945578231292,0.888888888888889,0.8928571428571429,0.75,4.949470535714285,0.2976613851264034,
11720392_at,1,28,12,0.945578231292517,1.0,0.75,0.75,5.825444464285716,0.45175165039928755,
11720392_at,2,28,12,0.9251700680272109,0.8888888888888888,0.8571428571428571,0.9166666666666666,5.80401292857143,0.4163201319345422,
11720392_at,3,28,12,0.9591836734693877,0.925925925925926,0.8571428571428571,0.9166666666666666,5.781513392857142,0.46189226166862596,
11720392_at,4,28,12,0.9591836734693877,0.962962962962963,0.9285714285714286,0.8333333333333334,5.773269107142858,0.5193835379388501,
11720392_at,5,28,12,0.9047619047619048,1.0,0.8928571428571429,0.8333333333333334,5.817986071428571,0.3885996034460652,
11716908_a_at,1,28,12,0.9387755102040816,1.0,0.8571428571428571,0.9166666666666666,11.272969142857141,0.5903227682205799,
11716908_a_at,2,28,12,0.9727891156462585,0.8888888888888888,0.9285714285714286,0.8333333333333334,11.254995285714287,0.7143610301417965,
11716908_a_at,3,28,12,0.9251700680272109,1.0,0.8928571428571429,0.9166666666666666,11.226493785714286,0.6241348138921387,
11716908_a_at,4,28,12,0.9795918367346939,0.8518518518518519,0.9285714285714286,0.8333333333333334,11.193171357142857,0.7404667683831055,
11716908_a_at,5,28,12,0.9591836734693877,0.8888888888888888,0.8928571428571429,0.8333333333333334,11.349248392857143,0.5482352947632735,
11722574_at,1,28,12,0.9659863945578231,0.9259259259259259,0.8928571428571429,0.9166666666666666,7.169922107142859,0.34297199729816397,
11722574_at,2,28,12,0.9387755102040817,1.0,0.8571428571428571,1.0,7.162689571428571,0.3658640184307937,
11722574_at,3,28,12,0.9047619047619048,1.0,0.8928571428571429,0.8333333333333334,7.131446642857142,0.37840314577545026,
11722574_at,4,28,12,0.979591836734694,0.8888888888888888,0.9285714285714286,0.8333333333333334,7.187790214285714,0.34264394627696076,
11722574_at,5,28,12,0.9591836734693877,0.962962962962963,0.8928571428571429,0.9166666666666666,7.163713571428572,0.3050239485364593,
11719889_x_at,1,28,12,0.9863945578231293,0.8518518518518519,0.9285714285714286,0.8333333333333334,4.39893525,0.2554504525866278,
11719889_x_at,2,28,12,0.9795918367346939,0.8518518518518519,0.9285714285714286,0.8333333333333334,4.431432464285714,0.22937978905017417,
11719889_x_at,3,28,12,0.9931972789115646,0.8148148148148149,0.9642857142857143,0.75,4.409736071428571,0.2476326062901831,
11719889_x_at,4,28,12,0.9523809523809523,0.962962962962963,0.8928571428571429,0.8333333333333334,4.435613035714285,0.2399969891129783,
11719889_x_at,5,28,12,0.9319727891156462,0.8888888888888888,0.8571428571428571,0.9166666666666666,4.446946607142857,0.24615333520063368,
11719149_a_at,1,28,12,0.9319727891156463,1.0,0.75,0.75,7.2903666071428574,0.28741105699281794,
11719149_a_at,2,28,12,0.9523809523809523,0.962962962962963,0.9285714285714286,0.9166666666666666,7.29173107142857,0.2717626879228121,
11719149_a_at,3,28,12,0.9591836734693877,0.925925925925926,0.9285714285714286,0.9166666666666666,7.306582964285715,0.2843087661900002,
11719149_a_at,4,28,12,1.0,0.4814814814814815,1.0,0.75,7.264224107142857,0.26650151715145104,
11719149_a_at,5,28,12,0.9251700680272108,1.0,0.8571428571428571,1.0,7.27946782142857,0.2504969253227514,
11720644_a_at,1,28,12,0.8843537414965986,0.962962962962963,0.7857142857142857,0.8333333333333334,8.945166785714285,0.6084541726767959,
11720644_a_at,2,28,12,0.8979591836734695,1.0,0.75,0.75,8.945138857142858,0.8514640936273941,
11720644_a_at,3,28,12,0.9183673469387754,1.0,0.75,0.75,8.847985535714285,0.6902830574355916,
11720644_a_at,4,28,12,0.9727891156462586,0.888888888888889,0.8928571428571429,0.8333333333333334,8.868947250000002,0.8819764045313913,
11720644_a_at,5,28,12,0.9591836734693877,0.962962962962963,0.8571428571428571,0.9166666666666666,8.876462000000002,0.7433252571198036,
11727905_a_at,1,28,12,0.9523809523809523,0.962962962962963,0.9285714285714286,0.9166666666666666,8.438510214285714,0.9422305505498684,
11727905_a_at,2,28,12,0.945578231292517,1.0,0.9285714285714286,0.9166666666666666,8.495041428571428,0.9580349716979303,
11727905_a_at,3,28,12,0.9931972789115646,0.8518518518518519,0.9285714285714286,0.6666666666666666,8.429295035714286,1.1377763650960355,
11727905_a_at,4,28,12,0.9591836734693877,0.962962962962963,0.8571428571428571,0.8333333333333334,8.449456214285716,0.8742199999608692,
11727905_a_at,5,28,12,0.979591836734694,0.8518518518518519,0.9285714285714286,0.6666666666666666,8.46259925,1.1603329570393475,
11721585_a_at,1,28,12,0.8571428571428572,0.962962962962963,0.9285714285714286,0.9166666666666666,7.117116392857143,0.7636356371772223,
11721585_a_at,2,28,12,0.979591836734694,0.7777777777777779,0.9642857142857143,0.8333333333333334,7.097481500000001,0.764450978215642,
11721585_a_at,3,28,12,0.945578231292517,0.962962962962963,0.9285714285714286,0.9166666666666666,7.158849107142857,0.7631603525921296,
11721585_a_at,4,28,12,1.0,0.6666666666666667,1.0,0.75,7.117624857142857,0.8035585905996047,
11721585_a_at,5,28,12,0.9727891156462585,0.8518518518518519,0.9285714285714286,0.9166666666666666,7.100945821428572,0.7821231663263621,
11717993_at,1,28,12,0.9523809523809523,1.0,0.8928571428571429,0.9166666666666666,8.356032035714286,0.5679138352686885,
11717993_at,2,28,12,0.9659863945578232,0.925925925925926,0.9642857142857143,0.75,8.39864075,0.5404402135211507,
11717993_at,3,28,12,0.9795918367346939,0.8148148148148149,0.8928571428571429,0.9166666666666666,8.261900285714285,0.5559520203382765,
