Gene,N_runs,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc
11723424_at,5,1.0,0.9777777777777779,0.033126932999996854,0.75
11726205_at,5,1.0,0.9259259259259259,0.11415581486979585,0.75
11717176_at,5,1.0,0.9555555555555555,0.09938079899999061,0.75
11733768_x_at,5,1.0,0.8814814814814815,0.20852871496680364,0.75
11743879_at,5,1.0,0.7777777777777778,0.40147191460516296,0.75
11736084_a_at,5,0.962962962962963,0.9555555555555555,0.06085806194501846,0.9166666666666666
11746376_a_at,5,0.962962962962963,0.9185185185185185,0.10924356447224166,0.9166666666666666
11747203_x_at,5,0.962962962962963,0.9407407407407409,0.05616944773371517,0.9166666666666666
11756479_x_at,5,0.962962962962963,0.9555555555555555,0.04829038818668632,0.9166666666666666
11736159_a_at,5,0.962962962962963,0.9333333333333333,0.07124216319137532,0.9166666666666666
11722574_at,5,0.962962962962963,0.9555555555555555,0.048290388186686295,0.9166666666666666
11719149_a_at,5,0.962962962962963,0.874074074074074,0.22160407854298655,0.9166666666666666
11757369_s_at,5,0.962962962962963,0.8592592592592594,0.1764611740677273,0.9166666666666666
11717324_at,5,0.962962962962963,0.9111111111111111,0.12450175047386383,0.9166666666666666
11740935_s_at,5,0.962962962962963,0.9333333333333333,0.07124216319137533,0.9166666666666666
11731879_a_at,5,0.962962962962963,0.9777777777777779,0.02028602064833946,0.9166666666666666
11757750_a_at,5,0.962962962962963,0.9407407407407409,0.056169447733715204,0.9166666666666666
11727513_at,5,0.962962962962963,0.8962962962962964,0.1345622379598885,0.9166666666666666
11722960_a_at,5,0.962962962962963,0.9481481481481481,0.05616944773371522,0.9166666666666666
11727947_at,5,0.962962962962963,0.9259259259259259,0.10798059064528331,0.9166666666666666
11724810_at,5,0.962962962962963,0.8666666666666668,0.14953058694952853,0.9166666666666666
11715926_s_at,5,0.962962962962963,0.9555555555555555,0.04829038818668624,0.9166666666666666
11740208_x_at,5,0.962962962962963,0.8962962962962961,0.15581988124416762,0.9166666666666666
11752509_s_at,5,0.962962962962963,0.9555555555555555,0.04829038818668627,0.9166666666666666
11723468_at,5,0.962962962962963,0.9407407407407409,0.06728111897994425,0.9166666666666666
11733803_x_at,5,0.962962962962963,0.9259259259259259,0.07407407407407406,0.9166666666666666
11717208_at,5,0.962962962962963,0.9703703703703704,0.030987408390150923,0.9166666666666666
11718305_a_at,5,0.962962962962963,0.9111111111111111,0.1067026688213921,0.9166666666666666
11756532_a_at,5,0.962962962962963,0.9333333333333333,0.08029438292103257,0.9166666666666666
11718699_at,5,0.962962962962963,0.9259259259259259,0.12559870339120868,0.9166666666666666
11735177_at,5,0.962962962962963,0.9111111111111111,0.15843888619412916,0.9166666666666666
11717218_a_at,5,0.962962962962963,0.888888888888889,0.1385799032138497,0.9166666666666666
11756289_x_at,5,0.962962962962963,0.8518518518518519,0.18702786922892733,0.9166666666666666
11746754_a_at,5,0.962962962962963,0.9185185185185185,0.12115131284293428,0.9166666666666666
11718600_a_at,5,0.962962962962963,0.8962962962962964,0.12668615834434865,0.9166666666666666
11716128_at,5,0.962962962962963,0.9481481481481481,0.05616944773371514,0.9166666666666666
11715691_s_at,5,0.962962962962963,0.9481481481481481,0.07680163464195451,0.9166666666666666
11731397_a_at,5,0.962962962962963,0.9037037037037038,0.11594426549998907,0.9166666666666666
11739342_a_at,5,0.962962962962963,0.9185185185185185,0.1027736068556416,0.9166666666666666
11752692_x_at,5,0.962962962962963,0.9037037037037038,0.11594426549998904,0.9166666666666666
11722900_s_at,5,0.962962962962963,0.874074074074074,0.15843888619412913,0.9166666666666666
11720394_at,5,0.962962962962963,0.874074074074074,0.15843888619412913,0.9166666666666666
11715676_s_at,5,0.962962962962963,0.9111111111111111,0.14005681778658544,0.9166666666666666
11739521_at,5,0.962962962962963,0.962962962962963,0.037037037037037014,0.9166666666666666
11732899_s_at,5,0.962962962962963,0.9555555555555555,0.048290388186686226,0.9166666666666666
11718568_a_at,5,0.962962962962963,0.962962962962963,0.037037037037037,0.9166666666666666
11727904_s_at,5,0.962962962962963,0.9555555555555555,0.040572041296678935,0.9166666666666666
11733248_a_at,5,0.962962962962963,0.9333333333333333,0.07124216319137532,0.9166666666666666
11720345_a_at,5,0.962962962962963,0.9481481481481481,0.04222871944811625,0.9166666666666666
11738807_s_at,5,0.962962962962963,0.874074074074074,0.15404914328211428,0.9166666666666666
11716238_at,5,0.962962962962963,0.9185185185185185,0.09938079899999061,0.9166666666666666
11719183_a_at,5,0.962962962962963,0.9037037037037038,0.11886523359912006,0.9166666666666666
11733611_a_at,5,0.962962962962963,0.962962962962963,0.037037037037037056,0.9166666666666666
11755009_s_at,5,0.962962962962963,0.9037037037037038,0.1272264002764272,0.9166666666666666
11737750_s_at,5,0.962962962962963,0.9259259259259259,0.10798059064528337,0.9166666666666666
11752266_a_at,5,0.962962962962963,0.9185185185185185,0.09586799337440578,0.9166666666666666
11754589_a_at,5,0.962962962962963,0.9333333333333333,0.08029438292103258,0.9166666666666666
11750847_a_at,5,0.962962962962963,0.874074074074074,0.15843888619412916,0.9166666666666666
11735768_x_at,5,0.962962962962963,0.9037037037037038,0.11594426549998907,0.9166666666666666
11727222_at,5,0.962962962962963,0.9259259259259259,0.09442628728875527,0.9166666666666666
11727145_s_at,5,0.962962962962963,0.9703703703703704,0.03098740839015089,0.9166666666666666
11718120_at,5,0.962962962962963,0.9555555555555555,0.04829038818668624,0.9166666666666666
11757783_s_at,5,0.962962962962963,0.9037037037037038,0.11886523359912006,0.9166666666666666
11755804_a_at,5,0.962962962962963,0.9259259259259259,0.08685955110784128,0.9166666666666666
11722225_a_at,5,0.962962962962963,0.9407407407407409,0.04969039949999534,0.9166666666666666
11715717_s_at,5,0.962962962962963,0.874074074074074,0.15843888619412913,0.9166666666666666
11720975_a_at,5,0.962962962962963,0.9037037037037038,0.11594426549998907,0.9166666666666666
11741278_a_at,5,0.962962962962963,0.962962962962963,0.045360921162651474,0.9166666666666666
11740302_a_at,5,0.962962962962963,0.9185185185185185,0.1092435644722417,0.9166666666666666
11754492_x_at,5,0.962962962962963,0.9259259259259259,0.0944262872887553,0.9166666666666666
11718195_a_at,5,0.962962962962963,0.9555555555555555,0.04829038818668625,0.9166666666666666
11739219_s_at,5,0.962962962962963,0.888888888888889,0.18885257457751053,0.9166666666666666
11724686_x_at,5,0.962962962962963,0.9333333333333333,0.06085806194501844,0.9166666666666666
11717610_s_at,5,0.962962962962963,0.962962962962963,0.03703703703703701,0.9166666666666666
11723842_s_at,5,0.962962962962963,0.962962962962963,0.04536092116265141,0.9166666666666666
11729533_s_at,5,0.962962962962963,0.9481481481481481,0.056169447733715155,0.9166666666666666
11757321_a_at,5,0.962962962962963,0.9333333333333333,0.0922214785036202,0.9166666666666666
11741223_s_at,5,0.962962962962963,0.962962962962963,0.03703703703703697,0.9166666666666666
11733698_s_at,5,0.962962962962963,0.8962962962962964,0.13198910874967007,0.9166666666666666
11754680_a_at,5,0.962962962962963,0.962962962962963,0.045360921162651474,0.9166666666666666
11724004_a_at,5,0.962962962962963,0.9259259259259259,0.09442628728875524,0.9166666666666666
11716687_x_at,5,0.962962962962963,0.8592592592592594,0.17839399375988585,0.9166666666666666
11728740_a_at,5,0.962962962962963,0.874074074074074,0.14005681778658546,0.9166666666666666
11730168_s_at,5,0.962962962962963,0.9111111111111111,0.14005681778658546,0.9166666666666666
11730433_a_at,5,0.962962962962963,0.9777777777777779,0.02028602064833947,0.9166666666666666
11741047_a_at,5,0.962962962962963,0.9481481481481481,0.04222871944811625,0.9166666666666666
11721231_a_at,5,0.962962962962963,0.8592592592592594,0.1601610985958493,0.9166666666666666
11718724_at,5,0.962962962962963,0.9481481481481481,0.061974816780301915,0.9166666666666666
11715462_x_at,5,0.962962962962963,0.9481481481481481,0.056169447733715176,0.9166666666666666
11752814_s_at,5,0.962962962962963,0.962962962962963,0.026189140043946166,0.9166666666666666
11752590_s_at,5,0.962962962962963,0.9111111111111111,0.11294778282945858,0.9166666666666666
11756248_a_at,5,0.962962962962963,0.9185185185185185,0.1420021445383764,0.9166666666666666
11730373_a_at,5,0.962962962962963,0.9555555555555555,0.06085806194501844,0.9166666666666666
11754972_s_at,5,0.962962962962963,0.888888888888889,0.13608276348795437,0.9166666666666666
11717837_x_at,5,0.962962962962963,0.9259259259259259,0.07407407407407406,0.9166666666666666
11760084_x_at,5,0.962962962962963,0.962962962962963,0.03703703703703701,0.9166666666666666
11719160_at,5,0.962962962962963,0.9037037037037038,0.11886523359912005,0.9166666666666666
11741190_a_at,5,0.962962962962963,0.9111111111111111,0.13758648608153115,0.9166666666666666
11715902_a_at,5,0.962962962962963,0.962962962962963,0.03703703703703704,0.9166666666666666
11746363_x_at,5,0.962962962962963,0.9259259259259259,0.08685955110784124,0.9166666666666666
11756724_x_at,5,0.962962962962963,0.888888888888889,0.13857990321384964,0.9166666666666666
11763426_a_at,5,0.962962962962963,0.8962962962962964,0.12668615834434863,0.9166666666666666
11753127_a_at,5,0.962962962962963,0.9037037037037038,0.10006856360078735,0.9166666666666666
11715531_at,5,0.962962962962963,0.9111111111111111,0.12450175047386376,0.9166666666666666
11723344_at,5,0.962962962962963,0.9111111111111111,0.12450175047386383,0.9166666666666666
