probe_id,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc,gene_symbol,combined_score
11739731_s_at,1.0,0.9555555555555555,0.08029438292103258,0.9166666666666666,CSNK1G1,1.0
11715617_a_at,1.0,0.8666666666666668,0.18257418583505533,0.9166666666666666,RNF130,1.0
11759824_a_at,1.0,0.888888888888889,0.15270761576361702,0.9166666666666666,LILRA1,1.0
11740979_x_at,1.0,0.9259259259259259,0.1458149606298483,0.9166666666666666,LCK,1.0
11755399_a_at,1.0,0.9777777777777779,0.04969039949999535,0.9166666666666666,COL18A1,1.0
11717889_s_at,1.0,0.9259259259259259,0.14581496062984833,0.9166666666666666,GNAI2,1.0
11724858_a_at,1.0,0.9555555555555555,0.06625386599999378,0.9166666666666666,CEP63,1.0
11727841_a_at,1.0,0.9777777777777779,0.049690399499995284,0.9166666666666666,PRKCD,1.0
11735767_at,1.0,0.9111111111111111,0.12171612389003683,0.9166666666666666,C16orf54 /// LOC105369277,1.0
11748005_a_at,1.0,0.9333333333333333,0.09222147850362022,0.9166666666666666,FRY,1.0
11752568_a_at,1.0,0.962962962962963,0.06415002990995843,0.9166666666666666,LCK,1.0
11744067_s_at,1.0,0.9851851851851852,0.033126932999996826,0.9166666666666666,SYNGR2,1.0
11717762_a_at,1.0,0.9851851851851852,0.020286020648339478,0.9166666666666666,CPVL,1.0
11755091_a_at,1.0,0.9481481481481481,0.08114408259335791,0.9166666666666666,ABCA7,1.0
11731023_a_at,1.0,0.962962962962963,0.05237828008789242,0.9166666666666666,ATXN7,1.0
11723668_at,1.0,0.7925925925925925,0.2887939065128582,0.9166666666666666,SEMA3C,1.0
11732728_at,1.0,0.9703703703703704,0.04057204129667889,0.9166666666666666,SLITRK4,1.0
11756792_x_at,1.0,0.962962962962963,0.0523782800878924,0.9166666666666666,DBNL,1.0
11736575_x_at,1.0,1.0,0.0,0.9166666666666666,GPR155,1.0
11737649_a_at,1.0,0.962962962962963,0.052378280087892366,0.9166666666666666,ANKFY1,1.0
11731024_s_at,1.0,0.9555555555555555,0.06085806194501848,0.9166666666666666,ATXN7,1.0
11722728_a_at,1.0,0.888888888888889,0.1571348402636772,0.9166666666666666,EGR2,1.0
11748120_a_at,1.0,0.9111111111111111,0.12171612389003683,0.9166666666666666,LCP2,1.0
11718122_a_at,1.0,1.0,0.0,0.9166666666666666,ATP6V1A,1.0
11728828_at,1.0,0.8666666666666668,0.18257418583505533,0.9166666666666666,F2RL1,1.0
200021_PM_at,1.0,0.9481481481481481,0.08114408259335792,0.8333333333333334,CFL1,1.0
11730996_a_at,1.0,0.962962962962963,0.08281733249999217,0.8333333333333334,AMICA1,1.0
11750862_a_at,1.0,0.9185185185185185,0.14439695325642907,0.8333333333333334,ADGRE3,1.0
11756449_x_at,1.0,0.8814814814814815,0.16228816518671588,0.8333333333333334,RBCK1,1.0
11723464_s_at,1.0,0.8814814814814815,0.17053132493661236,0.8333333333333334,CELF2,1.0
11741576_a_at,1.0,0.9259259259259259,0.11415581486979588,0.8333333333333334,LEMD2,1.0
11715948_at,1.0,0.8666666666666666,0.2587296177270071,0.8333333333333334,KCTD12,1.0
11733258_a_at,1.0,0.837037037037037,0.28879390651285813,0.8333333333333334,TAOK3,1.0
11720230_at,1.0,0.9185185185185185,0.16228816518671585,0.8333333333333334,TES,1.0
11719370_a_at,1.0,0.8962962962962964,0.16228816518671588,0.8333333333333334,SLC25A44,1.0
11719024_at,1.0,0.9481481481481481,0.08114408259335791,0.8333333333333334,ZNF652,1.0
