probe_id,gene_symbol,abs_log_fold_change,variance
11715674_s_at,CCNG1,0.2833246333333328,0.3256541167580097
11715675_a_at,CCNG1,0.2562199999999999,0.3781354515181026
11715679_s_at,PRNP,0.6520121000000003,0.4057094019823072
11715680_s_at,C12orf57,0.1439660333333368,0.4184854306567942
11715681_s_at,CREG1,1.4104949666666666,0.6430531515884096
11715682_a_at,CREG1,1.3861410333333328,0.605886243899584
11715684_a_at,PPA1,0.004491733333333414,0.37301032593252315
11715685_s_at,ARPC5,0.7192237333333331,0.3154393778160923
11715689_a_at,CD164,0.5504402666666692,0.40057257937026675
11715690_x_at,CD164,0.46075686666666726,0.3529949159738948
11715693_s_at,CIRBP,0.3284526333333311,0.13779973192769157
11715694_at,COX7B,0.07636966666666556,0.8965853976932078
11715695_x_at,COX7B,0.04315296666666679,0.8324223572503942
11715697_a_at,NOLC1,0.3214973333333324,0.23784049466055388
11715705_a_at,MGEA5,0.6342076999999993,0.28001982645741996
11715706_x_at,MGEA5,0.7293859666666691,0.36273205819789683
11715707_a_at,MGEA5,0.6944991333333341,0.3268840897500489
11715710_s_at,CTSC,0.7916897666666678,0.34569142718850704
11715711_a_at,AKR1C3,0.2217380000000002,0.5103960513630668
11715716_at,MSN,0.8768982666666645,0.3211437106078052
11715717_s_at,MSN,1.0101649333333302,0.405699816449241
11715722_a_at,GOLM1,0.36972476666666765,0.41130432217235324
11715724_s_at,ITM2B,0.819753000000004,0.2806911805225001
11715725_x_at,ITM2B,0.7998426666666631,0.2910127826266666
11715727_s_at,OAZ2,0.13994299999999704,0.1718813732467463
11715732_at,PSMB3,0.7884933999999983,0.32725372887711535
11715735_a_at,TMEM123,0.5080678666666651,0.7542091274921947
11715736_s_at,CASC3,0.07706740000000067,0.16291791151143326
11715744_a_at,ATP5J,0.10157616666666502,0.2247700690382301
11715752_at,TSPAN7,2.4349415999999984,1.8327623959905226
11715753_a_at,TSPAN7,2.0766109666666672,1.401155657764692
11715756_x_at,UBL5,0.4507208333333317,0.1920519034509685
11715757_a_at,RGS2,1.4677798666666675,0.862884805711908
11715761_a_at,TBC1D14,0.5048684000000012,0.28355455524651274
11715765_a_at,DUSP1,0.5434053333333333,0.38136880144041024
11715766_a_at,DUSP1,1.1952194666666625,0.9273783909094464
11715769_a_at,SET,0.37583926666666656,0.3201257716875771
11715770_x_at,SET,0.2636430666666669,0.1933955731868103
11715771_a_at,MRPL13,0.03773599999999888,0.29080299684201033
11715772_x_at,MRPL13,0.051926466666666116,0.31286607197777183
11715779_a_at,HNRNPH2 /// RPL36A-HNRNPH2,0.6843219666666673,0.2896236363773071
11715780_x_at,HNRNPH2 /// RPL36A-HNRNPH2,0.7301240666666668,0.30419926277091036
11715781_a_at,EEF2,0.4706241666666635,0.39338900568331725
11715787_x_at,ATP6V0C,0.5371963333333323,0.3171609572991564
11715788_a_at,SLC40A1,0.5973710000000008,0.38814269104972043
11715789_a_at,SLC40A1,0.3992770666666674,0.3054868289412307
11715792_a_at,STOM,1.6270079666666657,0.6804827886794045
11715803_a_at,ANXA6,0.42107756666666596,0.2023993480254711
11715804_s_at,PPP2CA,0.18683946666666795,0.1866341349330667
11715805_a_at,PPP2CA,0.452756766666667,0.22314503974617877
11715811_s_at,MLLT6,0.04817286666666476,0.1938481203029001
11715812_s_at,MLLT6,0.611144866666665,0.27069616934459234
11715816_at,ZFP36L2,0.3243123999999993,0.4462446752297025
11715817_at,ZFP36L2,1.0586204333333322,0.7469867536716096
11715818_at,ZFP36L2,1.082999233333334,0.4558536568839738
11715821_a_at,SYPL1,0.38209346666666644,0.1886908975941641
11715822_s_at,SYPL1,0.5337411000000003,0.3372961758819583
11715823_x_at,SYPL1,0.6311054999999994,0.4185049213603942
11715824_at,NOP10,0.5989283000000007,0.3385963434284865
11715835_a_at,PSMA3,0.21475166666666468,0.30291136268182317
11715836_x_at,PSMA3,0.19469810000000098,0.24524555058522507
11715837_a_at,HEXB,0.9128894999999986,0.4320526395587686
11715850_x_at,C6orf48,0.031021766666667006,0.4429100460460455
11715864_a_at,HACD3,0.08025863333333483,0.2872696308767634
11715873_a_at,OLFML3,0.2998883666666674,0.17277652242533273
11715880_a_at,PITPNA,0.7635592333333348,0.2974051084948147
11715889_a_at,ATP5I,0.21291963333333186,0.16524552998982006
11715893_s_at,IFI27,2.482422666666669,5.890175342895241
11715897_at,SCARB2,0.7880326333333345,0.6253534559020455
11715898_a_at,TNIP1,0.19376999999999978,0.13430461334318972
11715899_a_at,SUCLG1,0.19799590000000133,0.20610274650076343
11715901_a_at,PSMC2,0.34810796666666644,0.2196732854369737
11715903_at,DDX3X,0.4179170333333335,0.29982503755605083
11715905_x_at,DDX3X,0.23997476666666628,0.1720796909050249
11715911_at,MYO6,0.14538446666666704,0.3965487886569103
11715915_a_at,CD44,0.5629212666666676,0.18547237886425386
11715918_s_at,CD24,0.6925167999999982,1.300559247965733
11715921_a_at,SEPT9,0.8647529000000009,0.3111724939765891
11715922_x_at,SEPT9,0.8068076333333334,0.3084017143090763
11715925_a_at,TRAM1,0.34469583333333453,0.22538828952725581
11715926_s_at,PLEC,0.660596,0.17836980449621542
11715931_s_at,SGK1,1.5300062666666676,0.9274913717144718
11715932_s_at,TUBB6,0.6330235666666688,0.6962994222402558
11715935_a_at,NBEAL2,0.6003216666666678,0.25769638060948474
11715936_x_at,NBEAL2,0.6571581333333336,0.24170713314339493
11715937_a_at,KHDRBS1,0.6723470666666658,0.7323460775107282
11715942_a_at,AQP1,1.2614321999999993,0.786187364201259
11715943_x_at,PSMB1,0.4430247333333348,0.2078892082945103
11715945_a_at,RALB,0.6017893333333344,0.31153097460103585
11715946_a_at,RALB,0.6524236666666656,0.3056602515030744
11715947_a_at,KCTD12,0.9749716333333343,0.512450778126379
11715948_at,KCTD12,1.6835638333333334,1.3735545256985586
11715949_s_at,KCTD12,1.302599599999997,0.8753363128395896
11715950_a_at,KCTD12,0.3879615333333337,0.29486570722876665
11715951_s_at,KCTD12,1.1497267666666664,0.7175458333049429
11715955_a_at,ARL6IP5,0.5527411666666637,0.26995484287527627
11715956_s_at,ARL6IP5,0.46510790000000135,0.24042694498630196
11715957_s_at,PEPD,0.5170782000000012,0.30453263621015136
11715958_s_at,RPL7,0.013942533333333174,0.7486968697631898
11715962_at,ACTR10,0.5600487666666671,0.26554316492774294
11715963_a_at,SPTAN1,0.29932386666666666,0.17090488496083073
11715966_s_at,ABHD17A,0.4292812666666652,0.1886256927713307
11715971_a_at,PFKP,0.002655299999999805,0.2429272372905737
11715978_a_at,C6orf48,0.02937610000000035,0.49445316364081476
11715987_a_at,GH1,0.30360956666666805,0.339193918051148
11715990_s_at,COX7A2L,0.08248163333333203,0.23920583059099434
11715994_x_at,ID2,0.6140737999999999,0.49080301211541266
11715996_a_at,NOSIP,0.5518237333333307,0.19888110917076926
11715998_s_at,CAB39,0.6343354666666681,0.26610812271180495
11715999_a_at,CAB39,0.5975778666666676,0.31257244398626655
11716007_a_at,RBM5,0.7327891333333323,0.30022802513522817
11716008_x_at,RBM5,0.7331158333333327,0.3716127407281533
11716010_s_at,DYNC1LI2,0.5004084666666682,0.19984798937240755
11716014_a_at,SERPINF1,0.37966703333333296,0.2877823608544814
11716015_a_at,CMTM3,0.7328527666666638,0.4327428271530199
11716018_s_at,RAB31,1.0990975333333335,0.8009165591237718
11716019_at,RAB31,1.045825033333334,0.6920937124098403
11716020_s_at,RAD23A,1.4141384000000006,0.7581305248210873
11716022_at,ADRBK1,0.26787566666666685,0.16367016307256158
11716026_s_at,SELT,0.46446320000000263,0.3027225196599076
11716027_at,SELT,0.36119126666666634,0.4884410184622847
11716028_x_at,SELT,0.3719982666666679,0.4431996600128308
11716029_a_at,NDUFB9,0.38252423333333496,0.31839197323412743
11716031_s_at,ARF3,0.629713133333329,0.1832732016982025
11716033_at,SLPI,0.15596739999999798,0.8044627713899971
11716034_a_at,BST2,0.7710606999999996,1.094356098524507
11716035_at,BST2,0.614168433333333,0.5399942368676095
11716036_x_at,BST2,0.6826192000000013,0.6414054497607077
11716038_s_at,SLC25A29,0.08231106666666488,0.25728190096257436
11716040_a_at,RPS5,0.5043165333333324,0.5759878391094972
11716041_a_at,PPP2CB,0.6208550000000024,0.43827255334302306
11716042_x_at,PPP2CB,0.5860673333333333,0.3530132723698872
11716045_s_at,FAM168B,0.7702904000000022,0.2878832353309231
11716046_a_at,RGL2,0.9372586333333333,0.4046238738093943
11716048_at,TRIB1,0.9128206000000008,0.5295125367323872
11716055_s_at,STMN3,0.5584962666666682,0.37330517546527175
11716061_a_at,FAM162A,0.5533320333333336,0.27603451460496853
