gene_rank,gene_symbol,probe_id,probe_rank,probe_type,multivariate_score,abs_fold_change,log_fold_change,mean_sonfh,mean_control,t_stat,p_value,iqr,variance
16994,LCE2C,11741922_at,35584,_at,-1.4792,0.1106,-0.1106,2.7291,2.8398,-0.8592,0.4084340448861776,0.2962,0.0739
16995,PSG11,11727931_x_at,35588,_x_at,-1.4793,0.0601,0.0601,1.9803,1.9202,1.0616,0.3063142895262914,0.2035,0.0214
16996,PNLDC1,11755626_a_at,35585,_a_at,-1.4793,0.0946,0.0946,3.3896,3.295,0.9232,0.3743368845748265,0.2731,0.0535
16997,ZC4H2,11733412_a_at,35589,_a_at,-1.4794,0.1938,-0.1938,3.9002,4.094,-0.5253,0.6115607028901698,0.4783,0.3787
16998,GKN2,11756545_a_at,35591,_a_at,-1.4797,0.0902,-0.0902,2.2132,2.3034,-0.9404,0.36353099815719475,0.2233,0.0579
16999,PARD6A,11715230_s_at,35592,_s_at,-1.4799,0.1131,-0.1131,4.715,4.8282,-0.8484,0.4146162012057028,0.2485,0.075
17000,LGR5,11733962_a_at,35596,_a_at,-1.4802,0.1203,-0.1203,4.6575,4.7777,-0.8191,0.42924337328061474,0.2754,0.1052
17001,LRRFIP2,11758117_s_at,35602,_s_at,-1.4811,0.1476,0.1476,6.6171,6.4694,0.7087,0.49380249878020677,0.383,0.1728
17002,EDN2,11731286_at,35608,_at,-1.4814,0.1207,-0.1207,4.8694,4.9901,-0.8162,0.43249046047596357,0.4639,0.0867
17003,KDM4D,11758450_s_at,35613,_s_at,-1.4817,0.077,-0.077,3.4063,3.4833,-0.9911,0.337096240841678,0.2299,0.0445
17004,KLRC4,11734585_at,35614,_at,-1.4818,0.1052,0.1052,2.4846,2.3794,0.8779,0.38857357261394165,0.5574,0.1634
17005,C4orf27 /// LOC389705,11757224_s_at,35617,_s_at,-1.4819,0.1113,0.1113,5.4622,5.3509,0.8533,0.4116822251282009,0.3693,0.0747
17006,SPINK6,11721686_at,35620,_at,-1.4821,0.0803,0.0803,3.1838,3.1035,0.9774,0.34769530192789505,0.2646,0.0352
17007,ZEB1-AS1 /// ZEB1-AS1,11745925_at,35625,_at,-1.4825,0.1852,-0.1852,4.0556,4.2408,-0.5563,0.5902387173023798,0.4028,0.3742
17008,KLHDC8B,11717613_a_at,35626,_a_at,-1.4826,0.1574,-0.1574,5.9477,6.1051,-0.6676,0.5170093516738296,0.7607,0.2863
17009,CA4,11730973_a_at,35628,_a_at,-1.4829,0.1607,0.1607,6.0039,5.8432,0.6541,0.5240358544784651,0.7288,0.3743
17010,PEX6,11720549_a_at,35629,_a_at,-1.4831,0.1192,-0.1192,5.2313,5.3504,-0.8202,0.4254496819583328,0.4849,0.1439
17011,MGAT4EP,11760782_at,35633,_at,-1.4836,0.0763,-0.0763,2.0034,2.0797,-0.9917,0.34145349054675805,0.2033,0.0295
17012,EIF5 /// SNORA28,11763890_at,35634,_at,-1.4837,0.1089,0.1089,3.8441,3.7352,0.8609,0.3995755273803206,0.459,0.1533
17013,TMEM5,11731709_a_at,35635,_a_at,-1.4838,0.1225,0.1225,3.4684,3.3459,0.8062,0.43660510995440677,0.3755,0.1086
17014,ASIC5,11742277_at,35636,_at,-1.4838,0.0857,-0.0857,2.6952,2.7809,-0.9538,0.3573448142411675,0.3098,0.0491
17015,KIAA0408 /// SOGA3,11734043_at,35649,_at,-1.4853,0.0911,-0.0911,2.2097,2.3008,-0.9304,0.3725932495001219,0.2134,0.0403
17016,IFNE,11735857_at,35651,_at,-1.4855,0.0845,-0.0845,2.4989,2.5834,-0.9566,0.35912113143683355,0.2665,0.0352
17017,NDUFB11,11717252_x_at,35652,_x_at,-1.4855,0.0876,-0.0876,8.0816,8.1692,-0.9442,0.3619223272293771,0.3674,0.0529
17018,DSP,11739501_a_at,35653,_a_at,-1.4856,0.1213,-0.1213,3.4849,3.6062,-0.809,0.43376057720808114,0.4549,0.1233
17019,ZFPM1,11729546_at,35655,_at,-1.4857,0.1207,-0.1207,5.9585,6.0791,-0.8112,0.4348509307547353,0.4972,0.0921
17020,PRR16,11737620_a_at,35658,_a_at,-1.4861,0.0841,0.0841,2.6701,2.5861,0.9576,0.35309305962895765,0.2822,0.0572
17021,CUEDC1,11748259_a_at,35660,_a_at,-1.4864,0.1354,-0.1354,3.7518,3.8872,-0.7515,0.468390065964351,0.3343,0.1361
