probe_id,gene_symbol,Median_TestAUC,SD_TestAUC,abs_fold_change
11716904_s_at,TGOLN2,1.0,0.0811440825933579,0.8256
11757525_s_at,BICD2,1.0,0.0496903994999953,0.8562
11717324_at,EZH1,1.0,0.0811440825933579,0.7287
11724807_at,CBL,1.0,0.0165634664999983,1.015
11733802_a_at,CPPED1,1.0,0.0496903994999953,1.3978
11742418_a_at,SETD1B,1.0,0.0482903881866862,0.7192
11719025_a_at,ZNF652,1.0,0.0993807989999906,0.8169
11724326_a_at,ARHGAP25,1.0,0.1014301032416973,1.1993
11756746_s_at,AKIP1 /// NUAK2,1.0,0.1047565601757847,1.1032
11719038_a_at,ARAP1,1.0,0.0828173324999921,1.0502
11731879_a_at,NLRP1,1.0,0.0165634664999983,1.2655
11725813_at,MAST3,1.0,0.0993807989999906,1.0138
11722752_a_at,ELMSAN1,1.0,0.0523782800878923,0.8022
11721719_at,NAAA,1.0,0.0331269329999968,0.9878
11757904_s_at,MAST3,1.0,0.0662538659999937,0.8118
11758386_s_at,MANBA,1.0,0.0331269329999968,1.0443
11722216_a_at,GPR108,1.0,0.0721984766282145,0.5897
11753909_x_at,BANP,1.0,0.0523782800878923,0.6223
11756894_a_at,SPIN3,1.0,0.0331269329999968,0.8296
11724979_a_at,DPEP2,1.0,0.0202860206483394,1.5019
11722960_a_at,CYB561D1,1.0,0.0482903881866862,0.6449
11747785_s_at,LCP1,1.0,0.0165634664999984,0.9313
11731424_x_at,CXCR2,1.0,0.1141558148697958,1.6038
11758090_s_at,IL16,1.0,0.0496903994999953,0.569
11763266_at,FAM120B,1.0,0.0641500299099584,0.4391
11741091_a_at,ARNTL,1.0,0.0331269329999968,0.9444
11757808_s_at,RERE,1.0,0.0202860206483394,1.1675
11720380_a_at,IMPDH1,1.0,0.0641500299099584,1.0315
11752509_s_at,PSAP,1.0,0.0482903881866862,1.1325
11731437_at,MED6,1.0,0.0331269329999968,0.6541
11716765_s_at,IQGAP1,1.0,0.0331269329999969,0.9519
11723400_a_at,STK4,1.0,0.0922214785036202,0.9831
11720739_s_at,ITPKB,1.0,0.0,0.6937
11733803_x_at,CPPED1,1.0,0.0202860206483394,1.5007
11728840_at,TMCC3,1.0,0.0993807989999906,1.4759
11728972_a_at,PTPRJ,1.0,0.0662538659999937,1.1557
11723401_x_at,STK4,1.0,0.0922214785036202,0.9563
11717208_at,RXRB,1.0,0.0202860206483394,0.5354
11747623_a_at,ARHGAP25,1.0,0.0,0.9497
11717752_s_at,SEC14L1,1.0,0.0202860206483394,0.8329
11756532_a_at,PIK3CD,1.0,0.0828173324999921,1.1049
11718699_at,C6orf89,1.0,0.0641500299099584,0.6733
